Nr,Name,FIDE ID,Born,Birthplace,Died,Title,Federation,Sex,Notes
445,"Euwe, Max",,20.05.1901,Water­graafsmeer,26.11.1981,1950,Netherlands,M,Gaige; Di Felice
1200,"Monticelli, Mario",,16.03.1902,Venice,30.06.1995,1985,Italy,M,honorary
892,"Koltanowski, George",,17.09.1903,Antwerp,05.02.2000,1988,Belgium,M,honorary; later United States
1726,"Stoltz, Gösta",,09.05.1904,Stockholm,25.07.1963,1954,Sweden,M,Gaige
1061,"Lundin, Erik",,02.07.1904,Stockholm,05.12.1988,1983,Sweden,M,honorary
1086,"Makogonov, Vladimir",,27.08.1904,Nakhichivan,02.01.1993,1987,Soviet Union,M,honorary
766,"Izmukhambetov, Salauat",13700545,1972,,,1996,Kazakhstan,M,
277,"Caspi, Israel",2807394,1989,,,2021,Israel,M,title application
1311,"Omelja, Artem",14119846,1991,,,2020,Ukraine,M,title application
1689,"Song, Raymond",3203824,1994,,,2023,Taiwan,M,title application
15,"Ahmad, Al Khatib",8103178,1995,,,2023,Jordan,M,winner 2023 Arab Chess Championship[note 3]
1186,"Mirzoev, Emil",14108640,1996,,,2019,Ukraine,M,title application
1208,"Mosadeghpour, Masoud",12519278,1997,Mashhad,,2017,Iran,M,title application
1624,"Sheng, Joshua",2057360,2000,,,2021,United States,M,title application
1692,"Sorokin, Aleksey",24176460,2000,Barnaul,,2021,Russia,M,title application[note 91]
1799,"Tin, Jingyao",5804418,2000,,,2022,Singapore,M,title application
594,"Gorshtein, Ido",2815532,2002,,,2023,Israel,M,title application
273,"Cardoso Cardoso, Jose Gabriel",4430492,2004,,,2022,Colombia,M,title application
109,"Avila Pavas, Santiago",4437128,2004,,,2023,Colombia,M,title application
329,"Daggupati, Balaji",2090759,2005,,,2022,United States,M,title application
995,"Lazavik, Denis",13515110,2006,,,2022,Belarus,M,title application
829,"Kashdan, Isaac",,19.11.1905,New York City,20.02.1985,1954,United States,M,Gaige
1813,"Torre Repetto, Carlos",,23.11.1905,"Mérida, Yucatán",19.03.1978,1977,Mexico,M,honorary
1397,"Pirc, Vasja",,19.12.1907,Idrija,02.06.1980,1953,Yugoslavia,M,Gaige
1340,"Paoli, Enrico",1306855,13.01.1908,Trieste,15.12.2005,1996,Italy,M,honorary
1706,"Ståhlberg, Gideon",,26.01.1908,Angered,26.05.1967,1950,Sweden,M,Gaige
1462,"Ragozin, Viacheslav",,08.10.1908,Saint Petersburg,11.03.1962,1950,Soviet Union,M,Gaige
481,"Flohr, Salo",,21.11.1908,Horodenka,18.07.1983,1950,Soviet Union,M,Gaige; Di Felice
34,"Alatortsev, Vladimir",,14.05.1909,Turki,13.01.1987,1983,Soviet Union,M,honorary
224,"Böök, Eero",,09.02.1910,Helsinki,07.01.1990,1984,Finland,M,honorary
900,"Konstan­tinopolsky, Alexander",,19.02.1910,Zhitomir,21.09.1990,1983,Soviet Union,M,honorary
1522,"Rossolimo, Nicolas",,28.02.1910,Kyiv,24.07.1975,1953,United States,M,Gaige
331,"Dake, Arthur",2001446,08.04.1910,Portland,28.04.2000,1986,United States,M,honorary
1235,"Najdorf, Miguel",,15.04.1910,Grodzisk Mazowiecki,04.07.1997,1950,Argentina,M,
1164,"Mikėnas, Vladas",,17.04.1910,Tallinn,03.11.1992,1987,Lithuania,M,honorary
1809,"Tolush, Alexander",,01.05.1910,Saint Petersburg,03.03.1969,1953,Soviet Union,M,Gaige
1822,"Trifunović, Petar",,31.08.1910,Dubrovnik,08.12.1980,1953,Yugoslavia,M,
573,"Golombek, Harry",,01.03.1911,London,07.01.1995,1985,England,M,honorary
1033,"Lilienthal, Andor",700436,05.05.1911,Moscow,08.05.2010,1950,Soviet Union,M,later Hungary
1303,"O'Kelly de Galway, Albéric",,17.05.1911,Brussels,03.10.1980,1956,Belgium,M,Gaige
232,"Botvinnik, Mikhail",,17.08.1911,Kuokkala,05.05.1995,1950,Soviet Union,M,later Russia
146,"Barcza, Gedeon",,21.08.1911,Kisújszállás,27.02.1986,1954,Hungary,M,Gaige
1490,"Reshevsky, Samuel",,26.11.1911,Ozorków,04.04.1992,1950,United States,M,
1438,"Prins, Lodewijk",1001566,27.01.1913,Amsterdam,11.11.1999,1982,Netherlands,M,honorary
425,"Eliskases, Erich",,15.02.1913,Innsbruck,02.02.1997,1952,Argentina,M,
621,"Guimard, Carlos",100650,06.04.1913,Santiago del Estero,11.09.1998,1960,Argentina,M,
222,"Bondarevsky, Igor",,12.05.1913,Rostov-on-Don,14.06.1979,1950,Soviet Union,M,Gaige; Di Felice
920,"Kotov, Alexander",,12.08.1913,Tula,08.01.1981,1950,Soviet Union,M,Gaige
1394,"Pilnik, Herman",,08.01.1914,Stuttgart,12.11.1981,1952,Argentina,M,Gaige; also Hermann Pilnik
366,"Denker, Arnold",2002264,21.02.1914,New York City,02.01.2005,1981,United States,M,honorary
470,"Fine, Reuben",,11.10.1914,New York City,26.03.1993,1950,United States,M,
848,"Keres, Paul",,07.01.1916,Helsinki,05.06.1975,1950,Soviet Union,M,Gaige; Di Felice
1763,"Szabó, László",,19.03.1917,Budapest,08.08.1998,1950,Hungary,M,
220,"Boleslavsky, Isaac",,09.06.1919,Zolotonosha,15.02.1977,1950,Soviet Union,M,Gaige; Di Felice
1649,"Simagin, Vladimir",,21.06.1919,Moscow,25.09.1968,1962,Soviet Union,M,Gaige
219,"Bolbochán, Julio",,20.03.1920,Buenos Aires,28.06.1996,1977,Argentina,M,honorary
1837,"Udovčić, Mijo",,11.09.1920,Stara Jošava,08.04.1984,1962,Yugoslavia,M,
499,"Furman, Semyon",,01.12.1920,Pinsk,17.03.1978,1966,Soviet Union,M,Gaige; Di Felice
1675,"Smyslov, Vasily",4100310,24.03.1921,Moscow,27.03.2010,1950,Soviet Union,M,later Russia
1445,"Puc, Stojan",14600838,09.04.1921,Novo Mesto,29.01.2004,1984,Yugoslavia,M,honorary; later Slovenia
1003,"Lehmann, Heinz",,20.10.1921,Kaliningrad,08.06.1995,1992,West Germany,M,honorary; later Germany
1550,"Šajtar, Jaroslav",,03.12.1921,Ostrava,04.02.2003,1985,Czecho­slovakia,M,honorary
1663,"Śliwa, Bogdan",1102290,04.02.1922,Wieliczka,16.05.2003,1987,Poland,M,honorary
107,"Averbakh, Yuri L.",4101529,08.02.1922,Kaluga,07.05.2022,1952,Soviet Union,M,[obit 4]; later Russia
1783,"Teschner, Rudolf",4603850,16.02.1922,Potsdam,23.07.2006,1992,West Germany,M,honorary; later Germany
1521,"Rossetto, Héctor",100935,08.09.1922,Bahía Blanca,23.01.2009,1960,Argentina,M,
564,"Gligorić, Svetozar",900400,02.02.1923,Belgrade,14.08.2012,1951,Yugoslavia,M,Gaige; later Serbia
1614,"Shamkovich, Leonid",2000857,01.06.1923,Rostov-on-Don,22.04.2005,1965,Soviet Union,M,"later Israel, United States"
777,"Janošević, Dragoljub",,08.07.1923,Belgrade,20.05.1993,1965,Yugoslavia,M,
1999,"Zemgalis, Elmārs",,09.09.1923,Riga,08.12.2014,2003,Latvia,M,honorary; later United States
242,"Bronstein, David",4101359,19.02.1924,Belaya Tserkov,05.12.2006,1950,Soviet Union,M,later Russia
1326,"Pachman, Luděk",4662989,11.05.1924,Bělá pod Bezdězem,06.03.2003,1954,Czecho­slovakia,M,"later West Germany, Germany"
536,"Geller, Efim",4100581,08.03.1925,Odesa,17.11.1998,1952,Russia,M,Gaige; FIDE Golden Book[note 34]
1960,"Yanofsky, Daniel",2600080,26.03.1925,Brody,05.03.2000,1964,Canada,M,
864,"Kholmov, Ratmir",4101090,13.05.1925,Shenkursk,18.02.2006,1960,Soviet Union,M,later Russia
1840,"Unzicker, Wolfgang",4600126,26.06.1925,Pirmasens,20.04.2006,1954,West Germany,M,later Germany
1171,"Milić, Borislav",,20.10.1925,Belgrade,28.05.1986,1977,Yugoslavia,M,honorary[note 68]
1768,"Taimanov, Mark",4100760,07.02.1926,Kharkov,28.11.2016,1952,Soviet Union,M,later Russia
1738,"Suetin, Alexey",4104668,16.11.1926,Kirovograd,10.09.2001,1965,Russia,M,
333,"Damjanović, Mato",14500639,23.03.1927,Đeletovci,12.02.2011,1964,Yugoslavia,M,later Croatia
1109,"Marić, Rudolf",,13.05.1927,Novi Sad,26.08.1990,1990,Yugoslavia,M,honorary
389,"Donner, Johannes Hendrikus",,06.07.1927,The Hague,27.11.1988,1959,Netherlands,M,
265,"Byrne, Robert",2000385,20.04.1928,New York City,12.04.2013,1964,United States,M,Gaige; Di Felice
1588,"Schmid, Lothar",4600061,10.05.1928,Dresden,18.05.2013,1959,West Germany,M,later Germany
176,"Benko, Pal",2000687,15.07.1928,Amiens,26.08.2019,1958,United States,M,Gaige; Di Felice[obit 5]
467,"Filip, Miroslav",300098,27.10.1928,Prague,27.04.2009,1955,Czecho­slovakia,M,
72,"Antoshin, Vladimir",,14.05.1929,Moscow,13.05.1994,1964,Russia,M,
